Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EMA_20_Chg,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,151.6,156.95,151.6,152.6,11995.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,152.62,153.55,151.49,152.5,6973.0,-0.1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,152.75,155.88,149.52,151.17,51282.0,-0.9,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,152.69,153.55,148.7,150.78,47696.0,-0.3,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,151.14,152.76,150.17,151.02,22539.0,0.2,150.63799999999995,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,151.67,151.67,150.15,151.16,17568.0,0.1,150.76,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-09,150.25,151.39,149.37,150.67,31882.0,-0.3,150.83599999999993,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-10,151.58,152.04,150.55,151.66,21839.0,0.7,151.3400000000001,0.0,,0.0,,,150.83599999999993,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-13,151.7,152.75,151.13,152.18,14456.0,0.3,151.90199999999996,0.0,,0.0,,,151.3400000000001,150.83599999999993,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-14,152.58,152.58,150.64,150.92,3660.0,-0.8,151.52399999999997,151.05418181818183,,0.0,,,0.0,0.0,151.90199999999996,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-15,151.02,152.56,148.88,151.11,63626.0,0.1,151.33600000000004,151.15800000000004,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-16,151.12,155.88,150.52,153.94,36055.0,1.9,152.6600000000001,152.30072727272733,,0.0,,,151.33600000000004,151.3400000000001,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-17,152.38,153.94,149.17,152.94,19083.0,-0.6,153.12599999999992,152.7534545454545,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-20,153.55,154.91,150.73,152.53,9000.0,-0.3,153.298,152.88999999999993,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-21,152.58,155.49,152.36,155.18,11414.0,1.7,154.486,153.89454545454538,,0.0,,,153.298,151.33600000000004,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-22,155.59,156.46,152.1,152.92,10618.0,-1.5,153.54200000000017,153.91945454545447,,0.0,,,0.0,0.0,154.486,151.90199999999996,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-23,154.03,154.03,150.64,153.0,6934.0,0.1,153.41600000000003,153.7779999999999,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-24,154.02,154.02,149.11,150.69,17340.0,-1.5,151.6920000000001,152.90945454545457,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-27,150.15,150.15,143.05,144.98,16899.0,-3.8,146.82800000000015,150.22527272727277,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-28,143.52,150.44,143.34,149.24,23832.0,2.9,147.08999999999995,149.1534545454544,151.22,0.0,,-0.11,146.82800000000015,153.298,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
