Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EMA_20_Chg,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,36.42,38.1,36.15,37.83,466692.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,38.07,38.5,37.58,38.07,467791.0,0.6,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,37.83,39.29,37.73,38.91,605652.0,2.2,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,38.93,40.27,38.52,39.49,396237.0,1.5,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,39.49,39.88,37.91,38.13,404777.0,-3.4,38.89,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,37.95,39.4,37.95,39.14,778381.0,2.6,39.01999999999999,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-09,39.21,43.14,38.91,41.87,1608796.0,7.0,40.621999999999986,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-10,41.37,41.37,39.59,40.01,890411.0,-4.4,40.684,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-13,39.93,40.0,38.73,39.1,551726.0,-2.3,40.211999999999996,0.0,,0.0,,,0.0,0.0,40.684,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-14,39.43,39.62,38.81,39.12,183250.0,0.1,39.28600000000001,40.05254545454547,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-15,39.51,40.83,39.37,39.57,739444.0,1.2,38.836000000000034,39.92436363636365,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-16,39.61,40.45,38.97,39.35,927151.0,-0.6,39.260000000000026,39.673272727272746,,0.0,,,38.836000000000034,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Abv_Supp,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-17,39.21,39.69,38.93,39.13,791661.0,-0.6,39.311999999999976,39.44436363636364,,0.0,,,39.260000000000026,38.836000000000034,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-20,38.71,40.49,38.71,39.69,399063.0,1.4,39.512000000000015,39.512909090909076,,0.0,,,39.311999999999976,39.260000000000026,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-21,39.7,40.12,39.33,39.67,278539.0,-0.1,39.589999999999996,39.291636363636385,,0.0,,,39.512000000000015,39.311999999999976,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Cross_Up,
2014-01-22,39.31,39.9,39.21,39.49,900659.0,-0.5,39.63000000000005,39.12618181818179,,0.0,,,39.589999999999996,39.512000000000015,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-23,39.22,39.51,37.79,38.51,820394.0,-2.5,39.01,39.1490909090909,,0.0,,,0.0,0.0,39.63000000000005,40.684,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-24,38.51,38.93,37.93,38.11,193497.0,-1.0,38.22999999999999,38.84509090909091,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-27,37.91,38.11,36.43,37.01,277669.0,-2.9,37.21799999999999,38.08272727272729,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
