Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EMA_20_Chg,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,57.28,58.29,54.65,56.38,43252.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,58.5,63.98,56.49,59.92,202579.0,6.3,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,59.52,62.99,59.52,61.25,39414.0,2.2,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,62.25,62.25,58.75,59.62,20084.0,-2.7,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,60.5,62.75,59.3,60.04,31689.0,0.7,60.84599999999999,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,61.25,62.0,60.0,60.58,16048.0,0.9,60.303999999999974,0.0,,0.0,,,0.0,0.0,60.84599999999999,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-09,61.82,61.82,57.5,57.89,14756.0,-4.4,58.723999999999975,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-10,56.36,58.98,55.55,56.05,18308.0,-3.2,56.978000000000016,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-13,56.05,57.75,55.04,57.24,9152.0,2.1,56.333999999999946,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-14,56.75,60.0,56.75,59.52,13631.0,4.0,57.702000000000005,58.27218181818185,,0.0,,,56.333999999999946,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Abv_Supp,Close_LT_20EMA,Cross_Down,
2014-01-15,59.76,61.12,58.09,60.22,11187.0,1.2,59.81000000000003,58.252000000000024,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-01-16,60.22,61.7,58.88,60.3,15333.0,0.1,60.96200000000003,58.758000000000024,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-17,60.25,61.25,58.89,59.59,9069.0,-1.2,60.46999999999998,59.26400000000001,,0.0,,,0.0,0.0,60.96200000000003,60.84599999999999,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-20,59.98,60.51,59.28,60.06,5728.0,0.8,60.028000000000034,59.69690909090906,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-21,60.0,60.5,59.01,59.54,5204.0,-0.9,59.622000000000014,60.010181818181806,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-22,61.25,61.99,59.04,60.88,6160.0,2.3,60.296000000000014,60.921636363636324,,0.0,,,59.622000000000014,56.333999999999946,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-23,62.36,62.36,59.52,60.0,5239.0,-1.4,60.34200000000002,60.97472727272725,,0.0,,,60.296000000000014,59.622000000000014,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-24,60.21,60.88,59.56,60.42,6844.0,0.7,60.416000000000025,60.68981818181818,,0.0,,,60.34200000000002,60.296000000000014,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-27,61.22,61.22,58.71,59.46,8609.0,-1.6,59.93600000000003,60.07290909090909,,0.0,,,0.0,0.0,60.416000000000025,60.96200000000003,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-28,59.75,60.98,59.25,59.9,8830.0,0.7,59.63199999999991,59.94290909090904,59.67,1.0,,0.06,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-01-29,60.22,60.25,56.9,57.62,5813.0,-3.8,58.42399999999995,59.14454545454548,59.45,0.0,,-0.01,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Blw_Reg10,
2014-01-30,56.26,59.78,55.75,58.58,10398.0,1.7,58.091999999999956,58.83563636363638,59.36,0.0,,-0.03,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-31,58.75,60.0,57.24,57.7,4268.0,-1.5,57.683999999999955,58.174545454545495,59.18,0.0,,-0.07,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-03,58.72,59.1,57.25,58.65,4002.0,1.6,58.00599999999994,58.038727272727286,59.12,0.0,,-0.07,57.683999999999955,60.34200000000002,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-04,57.68,59.22,57.51,58.45,4210.0,-0.3,58.54599999999992,57.806727272727244,59.05,0.0,,-0.08,58.00599999999994,57.683999999999955,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-02-05,58.72,69.41,58.5,65.75,244271.0,12.5,62.84400000000005,60.42399999999997,59.74,1.0,,0.11,58.54599999999992,58.00599999999994,0.0,0.0,65.75,62.75,0.0,,0.0,0.0,Price_Crs_Abv_Cur_Res,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-02-06,67.08,68.5,64.86,66.28,86662.0,0.8,66.21799999999996,62.782727272727236,60.41,2.0,,0.24,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-02-07,67.12,67.36,65.88,66.25,11038.0,-0.0,67.68199999999993,64.87254545454547,61.0,3.0,,0.35,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-02-10,66.5,68.75,65.31,66.78,62958.0,0.8,68.13399999999997,66.63545454545456,61.58,4.0,,0.43,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
