Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EMA_20_Chg,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,448.72,449.12,443.8,444.4,1337074.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,443.85,448.0,435.05,437.5,1376901.0,-1.6,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,435.8,436.68,427.5,432.12,2933613.0,-1.2,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,431.05,431.62,425.0,427.48,3043781.0,-1.1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,427.3,429.98,420.02,421.05,3957111.0,-1.5,421.166,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,422.2,428.68,422.2,424.52,2909048.0,0.8,421.12799999999993,0.0,,0.0,,,0.0,0.0,421.166,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-09,425.22,426.9,422.52,425.35,1899340.0,0.2,422.80399999999986,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-10,424.18,438.15,424.0,429.08,3392170.0,0.9,426.9960000000001,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-13,434.12,441.5,434.0,440.2,2756390.0,2.6,436.61199999999974,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-14,439.25,442.28,436.22,440.75,2760267.0,0.1,441.4420000000003,431.37036363636383,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-15,442.35,447.5,440.5,442.72,2893960.0,0.4,444.9020000000004,437.4200000000001,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-16,444.35,446.65,441.02,443.08,4123266.0,0.1,445.2700000000003,442.3056363636366,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-17,444.58,448.45,440.12,442.38,3534630.0,-0.2,443.1639999999997,445.5690909090909,,0.0,,,0.0,0.0,445.2700000000003,421.166,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-20,443.45,444.5,433.05,434.88,3789008.0,-1.7,438.34600000000006,444.75399999999973,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-21,436.32,436.8,431.0,431.52,2241570.0,-0.8,432.7959999999999,441.0885454545454,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-22,431.75,437.68,429.08,436.22,1947009.0,1.1,432.7000000000004,439.1696363636362,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-23,430.3,435.65,430.3,432.9,3146981.0,-0.8,432.0560000000001,435.6316363636363,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-24,431.0,437.32,430.55,433.82,2715344.0,0.2,433.7199999999998,432.74563636363604,,0.0,,,432.0560000000001,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Cross_Up,
2014-01-27,428.0,430.4,420.18,421.58,2822051.0,-2.8,426.7520000000001,427.59672727272755,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-28,423.5,428.0,421.35,422.42,2645575.0,0.2,421.60399999999987,423.86363636363603,432.29,0.0,,-0.2,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-29,424.9,426.25,417.5,418.3,2828526.0,-1.0,417.6839999999995,420.1010909090908,430.77,0.0,,-0.3,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-30,415.7,416.92,411.1,412.5,3223490.0,-1.4,412.53999999999985,415.738909090909,428.81,0.0,,-0.43,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-31,413.5,416.72,413.08,415.58,2523182.0,0.7,413.692,413.96872727272716,427.41,0.0,,-0.5,412.53999999999985,432.0560000000001,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-03,413.1,414.9,409.72,410.45,1880728.0,-1.2,410.5179999999995,410.38818181818186,425.64,0.0,,-0.59,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-02-04,407.25,413.32,406.58,410.78,2825803.0,0.1,410.1040000000001,407.5821818181821,424.09,0.0,,-0.65,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-05,410.05,410.75,403.45,408.62,2582636.0,-0.5,409.07399999999967,406.1012727272723,422.5,0.0,,-0.7,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-06,410.0,412.05,404.08,407.92,2474757.0,-0.2,407.2399999999997,405.21999999999974,421.01,0.0,,-0.73,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-07,411.05,411.9,405.3,407.22,1933597.0,-0.2,407.134,405.6434545454547,419.62,0.0,,-0.75,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-10,407.62,412.8,405.58,410.98,2364740.0,0.9,408.90399999999977,406.36872727272737,418.75,0.0,,-0.71,407.134,412.53999999999985,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-11,411.5,412.5,401.38,402.62,2882244.0,-2.0,405.6839999999997,404.9521818181818,417.13,0.0,-0.03506905086862988,-0.74,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-12,404.0,410.95,403.7,408.95,2246719.0,1.6,407.03000000000003,405.9783636363637,416.31,0.0,-0.03356779720036207,-0.69,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-13,409.45,409.45,402.52,403.7,1978914.0,-1.3,404.8799999999994,404.54090909090945,415.06,0.0,-0.032065483547491946,-0.7,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-14,405.95,412.0,404.0,411.02,2107250.0,1.8,407.6860000000004,406.72818181818184,414.66,0.0,-0.02983084158068361,-0.61,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-17,408.82,411.0,403.52,406.15,2070622.0,-1.2,408.31399999999906,406.4558181818182,413.82,0.0,-0.027769946433605863,-0.6,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-18,403.55,408.92,403.55,406.58,1312359.0,0.1,406.82199999999955,406.6325454545454,413.11,0.0,-0.02589073074111614,-0.58,0.0,0.0,408.31399999999906,445.2700000000003,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-19,406.5,410.0,405.0,406.12,1401247.0,-0.1,406.7940000000006,406.4474545454547,412.43,0.0,-0.02383431952662718,-0.57,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-20,405.65,406.85,401.55,402.72,1838151.0,-0.8,403.19199999999944,405.08418181818183,411.48,0.0,-0.022636041899242287,-0.59,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-02-21,403.55,408.0,402.8,405.75,1430079.0,0.8,404.5319999999992,404.91127272727283,410.92,0.0,-0.02073304418283206,-0.56,403.19199999999944,407.134,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-24,404.02,407.48,402.65,406.18,1554509.0,0.1,405.2359999999999,405.71909090909145,410.46,0.0,-0.019797014925373224,-0.52,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-25,407.15,408.0,403.78,405.28,1609074.0,-0.2,405.5659999999988,404.8058181818182,409.96,0.0,-0.01718888595881385,-0.51,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-02-26,405.5,408.42,404.12,405.35,3110571.0,0.0,406.013999999999,405.03763636363647,409.51,0.0,-0.01633398188849655,-0.49,405.5659999999988,403.19199999999944,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-28,405.35,407.68,396.55,399.98,4331622.0,-1.3,402.034,402.5607272727273,408.59,0.0,-0.015588107743458868,-0.5,0.0,0.0,406.013999999999,408.31399999999906,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-03-03,400.05,403.4,398.58,401.7,2659675.0,0.4,400.84600000000063,402.34490909090925,407.92,0.0,-0.016254280615443983,-0.5,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-03-04,401.5,407.32,401.3,406.48,2056575.0,1.2,403.50800000000066,403.3147272727273,407.79,0.0,-0.01457155284906475,-0.44,400.84600000000063,405.5659999999988,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Prev_Sup,Close_LT_20EMA,Cross_Up,
2014-03-05,407.78,409.0,402.58,403.5,2703603.0,-0.7,403.96200000000033,403.3230909090907,407.37,0.0,-0.013894604342669092,-0.41,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-03-06,404.68,412.2,404.65,411.22,2325283.0,1.9,409.43199999999956,406.0743636363639,407.74,1.0,-0.011371626700288573,-0.28,0.0,0.0,0.0,0.0,411.22,398.22,0.0,,0.0,0.0,Price_Crs_Abv_Prev_Sup,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-03-07,412.5,437.0,412.5,434.7,7679752.0,5.7,425.66800000000114,415.97872727272727,410.33,2.0,-0.0027947895401964074,0.09,0.0,0.0,0.0,0.0,,,425.7,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-03-10,432.55,451.82,431.7,442.72,7513409.0,1.8,440.4600000000005,427.51527272727316,413.44,3.0,0.006132580550958888,0.38,0.0,0.0,0.0,0.0,,,433.72,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-03-11,442.5,443.9,436.05,437.38,2921335.0,-1.2,445.75600000000145,435.27654545454584,415.74,4.0,0.012863616430346614,0.54,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-03-12,437.0,441.45,433.82,435.68,2155857.0,-0.4,442.6599999999997,440.56872727272713,417.65,5.0,0.018757927602693014,0.64,0.0,0.0,445.75600000000145,406.013999999999,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-03-13,437.5,447.38,437.35,439.78,3936620.0,0.9,438.6760000000001,445.63309090909127,419.77,6.0,0.025054333227515713,0.73,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Down,
2014-03-14,437.0,444.98,434.52,443.08,3780891.0,0.8,440.35199999999895,448.8854545454536,422.0,7.0,0.0328201864950195,0.81,438.6760000000001,400.84600000000063,0.0,0.0,,,434.08,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-03-18,444.75,454.4,444.75,448.22,4351046.0,1.2,446.64399999999813,451.9065454545453,424.51,8.0,0.040669739164542085,0.89,0.0,0.0,0.0,0.0,,,439.22,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-03-19,450.0,454.95,447.62,451.5,3743369.0,0.7,451.66799999999955,454.47927272727327,427.1,9.0,0.04735280413938536,0.99,0.0,0.0,0.0,0.0,,,442.5,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-03-20,450.8,453.75,449.08,453.0,6791651.0,0.3,454.08800000000116,454.5185454545454,429.57,10.0,0.054495912806539426,1.1,0.0,0.0,0.0,0.0,,,444.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-03-21,453.5,456.68,441.08,442.9,5040481.0,-2.2,448.62399999999917,449.9127272727269,430.85,11.0,0.05667827537156045,0.97,0.0,0.0,454.08800000000116,445.75600000000145,,,0.0,444.0,7753.6959047999935,107753.6959048,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-03-22,443.8,444.92,441.78,444.08,231511.0,0.3,444.5639999999982,448.6825454545446,432.11,12.0,0.053079228913313736,0.97,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-03-24,445.62,454.38,445.55,452.7,6586731.0,1.9,447.5320000000002,451.5225454545449,434.08,13.0,0.04992260061919507,0.98,444.5639999999982,438.6760000000001,0.0,0.0,452.7,438.7,0.0,,0.0,0.0,Price_Abv_Supp,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-03-25,439.5,441.25,436.25,439.65,7154556.0,-2.9,443.08600000000075,448.2420000000002,434.61,14.0,0.0453889450137106,0.81,0.0,0.0,0.0,0.0,,438.7,0.0,,-3332.0,104199.7461488,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-03-26,440.62,451.48,440.58,445.6,3156965.0,1.4,445.18000000000114,446.5530909090909,435.66,15.0,0.04312223153358086,0.75,0.0,0.0,0.0,0.0,445.6,431.6,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-03-27,447.42,452.45,446.05,450.38,12665322.0,1.1,447.5820000000008,446.7943636363635,437.06,16.0,0.04118922266955716,0.76,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Up,
2014-03-28,450.0,459.98,450.0,458.08,4267110.0,1.7,453.58000000000004,449.777454545453,439.07,17.0,0.040450236966824704,0.81,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-03-31,458.12,469.9,456.6,465.38,4286368.0,1.6,464.6060000000013,455.4921818181823,441.58,18.0,0.040211066877105406,0.88,0.0,0.0,0.0,0.0,,,455.38,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-04-01,468.0,472.5,464.65,471.3,3575180.0,1.3,471.42800000000074,462.9720000000001,444.42,19.0,0.04055256380238825,0.99,0.0,0.0,0.0,0.0,,,461.3,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-04-02,472.5,481.0,469.05,479.1,6121499.0,1.7,478.98000000000025,472.36636363636444,447.72,20.0,0.042251553879461,1.11,0.0,0.0,0.0,0.0,,,469.1,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-04-03,478.4,481.48,470.2,476.32,6069088.0,-0.6,480.07599999999854,477.35672727272777,450.45,21.0,0.04549147034930945,1.14,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-04-04,476.0,476.62,470.78,472.12,2860462.0,-0.9,476.5439999999996,479.3092727272721,452.52,22.0,0.047233343361643865,1.16,0.0,0.0,480.07599999999854,454.08800000000116,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Down,
2014-04-07,472.0,477.48,467.18,472.08,2949923.0,-0.0,473.09999999999957,481.44254545454555,454.38,23.0,0.04676557316623664,1.12,0.0,0.0,0.0,0.0,,,0.0,469.1,5255.391424,109455.1375728,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-04-09,475.0,483.35,473.58,481.08,3071917.0,1.9,476.08400000000063,483.0178181818176,456.93,24.0,0.05135638848622892,1.14,473.09999999999957,444.5639999999982,0.0,0.0,481.08,466.08,0.0,,0.0,0.0,Price_Abv_Supp,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-04-10,482.35,486.95,481.1,484.52,2434297.0,0.7,482.2960000000005,484.71163636363576,459.56,25.0,0.054859293944819365,1.21,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
